Time:2020/09/24 15:42:19
4.196,65535,00,073B,00,
4.196,65535,00,073B,B9,
4.212,65535,00,073B,B9,
4.212,65535,00,073B,B9,
4.212,65535,00,073B,B9,
4.212,65535,00,073B,B9,
4.212,65535,00,073B,B9,
4.227,65535,00,073B,B9,
4.227,65535,00,073B,B9,
4.227,65535,02,073B,B9,
4.227,65535,02,07C0,B9,
4.243,1,02,07C0,B9,
4.243,1,02,072B,B9,
4.243,1,02,0741,B9,
4.243,1,02,072C,B9,
4.258,1,02,0742,B9,
4.258,1,02,0732,B9,
4.258,2,04,0739,B9,
4.258,1,04,072F,B9,
4.274,1,04,073A,B9,
4.274,1,04,072D,B9,
4.274,1,04,0739,B9,
4.274,1,04,0733,B9,
4.29,1,04,0734,B9,
4.29,1,04,0741,B9,
4.29,1,06,072C,B9,
4.29,1,06,0743,B9,
4.29,1,06,072E,B9,
4.305,1,06,073D,B9,
4.305,1,06,072F,B9,
4.305,1,06,0741,B9,
4.305,1,06,0738,B9,
4.321,1,06,073B,B9,
4.321,1,06,073B,B9,
4.321,1,08,0739,B9,
4.321,1,08,0735,B9,
4.336,1,08,0736,B9,
4.336,1,08,0739,B9,
4.336,1,08,073A,B9,
4.336,1,08,073C,B9,
4.352,1,08,0739,B9,
4.352,1,08,0738,B9,
4.352,1,0A,073D,B9,
4.352,1,0A,073A,B9,
4.352,1,0A,0737,B9,
4.368,1,0A,073B,B9,
4.368,1,0A,073B,B9,
4.368,1,0A,073D,B9,
4.368,1,0A,073A,B9,
4.383,1,0A,073C,B9,
4.383,1,0C,073E,B9,
4.383,1,0C,073B,B9,
4.383,1,0C,073C,B9,
4.399,1,0C,0738,B9,
4.399,1,0C,073B,B9,
4.399,1,0C,073E,B9,
4.399,1,0C,0738,B9,
4.414,1,0C,073E,B9,
4.414,1,0E,073E,B9,
4.414,1,0E,073C,B9,
4.414,1,0E,073E,B9,
4.43,1,0E,073B,B9,
4.43,1,0E,073F,B9,
4.43,1,0E,073A,B9,
4.43,1,0E,073F,B9,
4.43,1,0E,0738,B9,
4.446,1,0E,0740,B9,
4.446,1,10,0739,B9,
4.446,1,10,073E,B9,
4.446,1,10,073A,B9,
4.461,1,10,0740,B9,
4.461,1,10,0739,B9,
4.461,1,10,073F,B9,
4.461,1,10,073A,B9,
4.477,1,10,0740,B9,
4.477,1,12,073B,B9,
4.477,1,12,073F,B9,
